title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
Գաղտնի ծածկագիրը,,,1950 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/gakhtni-tsatskagiry
Կամելիազարդ տիկինը,Ալեքսանդր Դյումա,,2990 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/kameliazard-tikiny
Алиса в Стране Чудес,Լյուիս Քերոլ,,5600 դրամ,,,Մանկական,Արտասահմանյան,,,,,https://zangakbookstore.am/alisa-v-strane-chudes-2
Как устроен самолёт?,Հենրիկ Լյուրս,,6800 դրամ,,,Մանկական,Ճանաչողական և զարգացնող,,,,,https://zangakbookstore.am/kak-ustroen-samolyot-1
Սառցե սիրտը (Դիսնեյ),,Անտարես,2490 դրամ,Հայերեն,72,Մանկական,Արտասահմանյան,,9789939763286,00039057,2019,https://zangakbookstore.am/sartse-sirty-disney-1
Մոցառելլայի ճամփորդությունը,Մերի Սահակյան,Անտարես,1000 դրամ,Հայերեն,28,Մանկական,Հայ հեղինակներ,6+,9789939763927,00039050,2018,https://zangakbookstore.am/motsarellayi-champordutyuny
Չիփչու Նիչուն և կամակորները,Նաիրա Եդիգարյան,,3400 դրամ,,,Մանկական,Հայ հեղինակներ,,,,,https://zangakbookstore.am/chipchu-nichun-ev-kamakornery-1
Общак,Դենիս Լիհեյն,,3800 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/obshchak-1
Игра престолов,Ջորջ Ռ. Ռ. Մարտին,,12200 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/igra-prestolov-1
Девять рассказов,Ջերոմ Սելինջեր,,700 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/devyat-rasskazov-1
Коллекционер,Ջոն Ֆաուլզ,,3000 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/kollektsioner-1
Romeo and Juliet,Ուիլյամ Շեքսպիր,,2700 դրամ,,,Գեղարվեստական,Դրամատուրգիա,,,,,https://zangakbookstore.am/romeo-and-juliet-1
Портрет Дориана Грея = The Picture of Dorian Gray,Օսկար Ուայլդ,,1500 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/portret-doriana-greya-the-picture-of-dorian-gray-1
Fahrenheit 451,Ռեյ Բրեդբերի,,3900 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/fahrenheit-452
