Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,,,K048824,2019,,,,,Հայերեն,
,,,,K048823,2021,,,,Հայաստան,Հայերեն,
,,,,K048822,2018,,,,Հայաստան,Հայերեն,
,,,,K048821,2016,,,,Հայաստան,Հայերեն,
,,,304,K048811,1975,Կոշտ,,,,,
,,Генри Райдер Хаггард,,K048810,,,,,Ռուսաստանի ֆեդերացիա,Ռուսերեն,
,,Robert Service,715,K048809,,,,,,,
,,Արմինէ Կ. Կունդակջեան,40,K048807,,,,,,,
,,Թորոս Ազատեան,392,K048806,,,,,,,
,,Թալեբ,,K048564,,,,,Հայաստան,Հայերեն,
,,Ժոզե Սարամագու,,K048229,,,,,Հայաստան,Հայերեն,
,,Սալման Ռուշդի,,K047146,,,,,Հայաստան,Հայերեն,
,,,,K034774,2019,Կոշտ,,,Հայաստան,,
,,,,K034695,2019,,,,,Հայերեն,
,,Անտուան դը Էգզյուպերի,,K029300,,,,,Հայաստան,Հայերեն,
,,Կաֆկա,,K029124,,,,,Հայաստան,Հայերեն,
,,,,K027277,2019,,,,Հայաստան,Հայերեն,
,,,,K026308,2016,,,,Հայաստան,Հայերեն,
,,,,K026289,2016,,,,Հայաստան,Հայերեն,
,,,,K022772,2010,,,,Հայաստան,Հայերեն,
,,,,K022728,2018,,,,Հայաստան,Հայերեն,
,,Ուիլյամ Սարոյան,,K022027,,,,,Հայաստան,Հայերեն,
,,Օմար Խայամ,,K021915,,,,,Հայաստան,Հայերեն,
,,,,K021877,2017,,,,Հայաստան,Հայերեն,
,,,,K021876,2017,,,,Հայաստան,Հայերեն,
,,Սերգեյ Դովլաթով,,K015248,,,,,Հայաստան,Հայերեն,
,,Ջեյն Օսթին,,K015208,,,,,Հայաստան,Հայերեն,
,,,,K011622,2022,,,,Հայաստան,Հայերեն,
,,,,K011621,2022,,,,Հայաստան,Հայերեն,
,,,,K011620,2022,,,,Հայաստան,Հայերեն,
,,,,K011619,2022,,,,Հայաստան,Հայերեն,
,,"Անահիտ Ղազարյան, Առաքել Մինասեան",,K011618,,,,,Հայաստան,Հայերեն,
,,Ֆրեդրիկ Բաքման,,K011616,,,,,Հայաստան,Հայերեն,
,,,14,95216,2017,Կոշտ,,,,,
,,,464,94782,2017,Կոշտ,,,,,
,,,,94365,2019,,,,Հայաստան,Հայերեն,
,,Ռոուլինգ Ջ. Ք.,,93326,,,,,Հայաստան,Հայերեն,
,,Մարտիրոսյան Պ.,,90349,,,,,,Հայերեն,
,,,414,79710,2015,Կոշտ,,,,,
,,Сухин И.,279,7836,,,,,,,
,,,224,6176002,,Կոշտ,,,,,
,,,224,6176001,,Կոշտ,,,,,
,,"Սոկրատ Մկրտչյան, Արամ Աբրահամյան, Սուրեն Իսկանդարյան",96,56847,,,,,,,
,,,240,46938,2021,Կոշտ,,,,,
,,,64,46711,2020,Փափուկ,,,,,
,,,288,42529,2022,Փափուկ,,,,,
,,Ямамото Цунэтомо,160,42255,,,,,,,
,,,95,42186,2021,Փափուկ,,,,,
,,Сенека Луций Анней,160,40699,,,,,,,
,,,608,2870702,2021,Փափուկ,,,,,
,,,,23974,2015,,,,Ռուսաստանի ֆեդերացիա,Ռուսերեն,
,,,174,15679,2022,Կոշտ,,,,,
,,,576,11210949,2021,Կոշտ,,,,,
,,,304,11210948,,Կոշտ,,,,,
,,,176,11210947,,Կոշտ,,,,,
,,,192,11210946,,Կոշտ,,,,,
,,,176,11210945,,Կոշտ,,,,,
,,,16,11210944,2022,,,,,,
,,,574,11210936,2022,Կոշտ,,,,,
,,Мориарти Л.,544,11210934,,,,,,,
,,Мессинжер Ж.,722,11210932,,,,,,,
,,,160,11210931,2017,Կոշտ,,,,,
,,,576,11210929,2021,Կոշտ,,,,,
,,,464,11210927,2022,Կոշտ,,,,,
,,,224,11210926,2022,Կոշտ,,,,,
,,,644,11210924,2021,Կոշտ,,,,,
,,,114,11210923,2022,Կոշտ,,,,,
,,,256,11210920,2021,Կոշտ,,,,,
,,,112,11210918,2022,Կոշտ,,,,,
,,Уоллис Э.,96,11210917,,,,,,,
